ts,SA,NSW
2018-08-25 13:13:03,50.180988,49.862022
2018-08-25 13:13:04,50.181465,49.873142
2018-08-25 13:13:05,50.182762,49.88044
2018-08-25 13:13:06,50.184937,49.886707
2018-08-25 13:13:07,50.186279,49.886547
2018-08-25 13:13:08,50.185646,49.885212
2018-08-25 13:13:09,50.185413,49.882538
2018-08-25 13:13:10,50.184502,49.88488
2018-08-25 13:13:11,50.181484,49.886658
2018-08-25 13:13:12,50.178688,49.886768
2018-08-25 13:13:13,50.177608,49.887741
2018-08-25 13:13:14,50.178303,49.891884
2018-08-25 13:13:15,50.179707,49.893147
2018-08-25 13:13:16,50.181065,49.894394
2018-08-25 13:13:17,50.1819,49.899384
2018-08-25 13:13:18,50.182838,49.905754
2018-08-25 13:13:19,50.183266,49.91066
2018-08-25 13:13:20,50.182163,49.914707
2018-08-25 13:13:21,50.180706,49.917225
2018-08-25 13:13:22,50.180874,49.917801
2018-08-25 13:13:23,50.184273,49.915493
2018-08-25 13:13:24,50.189548,49.91127
2018-08-25 13:13:25,50.19463,49.905212
2018-08-25 13:13:26,50.198116,49.894535
2018-08-25 13:13:27,50.198597,49.885456
2018-08-25 13:13:28,50.199173,49.878471
2018-08-25 13:13:29,50.199245,49.871773
2018-08-25 13:13:30,50.195961,49.86232
2018-08-25 13:13:31,50.1894,49.852772
2018-08-25 13:13:32,50.182114,49.843754
2018-08-25 13:13:33,50.177547,49.837292
2018-08-25 13:13:34,50.176674,49.837437
2018-08-25 13:13:35,50.179691,49.838753
2018-08-25 13:13:36,50.187107,49.838474
2018-08-25 13:13:37,50.19677,49.845238
2018-08-25 13:13:38,50.204197,49.853542
2018-08-25 13:13:39,50.211601,49.859798
2018-08-25 13:13:40,50.215797,49.863174
2018-08-25 13:13:41,50.216145,49.869923
2018-08-25 13:13:42,50.213169,49.873783
2018-08-25 13:13:43,50.206188,49.873936
2018-08-25 13:13:44,50.196861,49.877342
2018-08-25 13:13:45,50.188667,49.881714
2018-08-25 13:13:46,50.184361,49.887619
2018-08-25 13:13:47,50.183636,49.889416
2018-08-25 13:13:48,50.184975,49.896702
2018-08-25 13:13:49,50.187698,49.900913
2018-08-25 13:13:50,50.193676,49.900253
2018-08-25 13:13:51,50.200264,49.901882
2018-08-25 13:13:52,50.207237,49.90469
2018-08-25 13:13:53,50.212692,49.902958
2018-08-25 13:13:54,50.215534,49.901131
2018-08-25 13:13:55,50.215652,49.896729
2018-08-25 13:13:56,50.211987,49.894234
2018-08-25 13:13:57,50.206242,49.891163
2018-08-25 13:13:58,50.20393,49.886963
2018-08-25 13:13:59,50.204613,49.880287
2018-08-25 13:14:00,50.205303,49.875397
2018-08-25 13:14:01,50.207294,49.874405
2018-08-25 13:14:02,50.212402,49.87244
2018-08-25 13:14:03,50.220211,49.871784
2018-08-25 13:14:04,50.224945,49.872078
2018-08-25 13:14:05,50.224545,49.874039
2018-08-25 13:14:06,50.224716,49.874451
2018-08-25 13:14:07,50.223312,49.876694
2018-08-25 13:14:08,50.219513,49.880272
2018-08-25 13:14:09,50.218079,49.883156
2018-08-25 13:14:10,50.218811,49.88382
2018-08-25 13:14:11,50.219276,49.879803
2018-08-25 13:14:12,50.220898,49.873867
2018-08-25 13:14:13,50.222511,49.864243
2018-08-25 13:14:14,50.222507,49.855145
2018-08-25 13:14:15,50.219162,49.847282
2018-08-25 13:14:16,50.215111,49.840496
2018-08-25 13:14:17,50.212421,49.834599
2018-08-25 13:14:18,50.210903,49.83358
2018-08-25 13:14:19,50.20974,49.839386
2018-08-25 13:14:20,50.213402,49.848465
2018-08-25 13:14:21,50.217903,49.858028
2018-08-25 13:14:22,50.220932,49.869804
2018-08-25 13:14:23,50.226791,49.877213
2018-08-25 13:14:24,50.232216,49.882236
2018-08-25 13:14:25,50.233158,49.884087
2018-08-25 13:14:26,50.229267,49.884254
2018-08-25 13:14:27,50.220062,49.888866
2018-08-25 13:14:28,50.20554,49.890228
2018-08-25 13:14:29,50.190235,49.894012
2018-08-25 13:14:30,50.178204,49.892471
2018-08-25 13:14:31,50.173801,49.89362
2018-08-25 13:14:32,50.176437,49.89658
2018-08-25 13:14:33,50.182354,49.896717
2018-08-25 13:14:34,50.192177,49.896988
2018-08-25 13:14:35,50.208511,49.900562
2018-08-25 13:14:36,50.224075,49.902843
2018-08-25 13:14:37,50.231335,49.903267
2018-08-25 13:14:38,50.232929,49.904457
2018-08-25 13:14:39,50.229473,49.909306
2018-08-25 13:14:40,50.219398,49.911827
2018-08-25 13:14:41,50.20623,49.915318
2018-08-25 13:14:42,50.193275,49.91769
2018-08-25 13:14:43,50.183357,49.919769
2018-08-25 13:14:44,50.179249,49.920918
2018-08-25 13:14:45,50.177696,49.92495
2018-08-25 13:14:46,50.178802,49.931499
2018-08-25 13:14:47,50.184715,49.940525
2018-08-25 13:14:48,50.196075,49.949783
2018-08-25 13:14:49,50.209099,49.95734
2018-08-25 13:14:50,50.221237,49.959381
2018-08-25 13:14:51,50.229702,49.959045
2018-08-25 13:14:52,50.232964,49.95874
2018-08-25 13:14:53,50.232758,49.959389
2018-08-25 13:14:54,50.226448,49.964809
2018-08-25 13:14:55,50.217373,49.966007
2018-08-25 13:14:56,50.207325,49.969975
2018-08-25 13:14:57,50.196442,49.973419
2018-08-25 13:14:58,50.188816,49.976257
2018-08-25 13:14:59,50.187225,49.977848
2018-08-25 13:15:00,50.190868,49.983204
2018-08-25 13:15:01,50.197411,49.986145
2018-08-25 13:15:02,50.206989,49.992767
2018-08-25 13:15:03,50.216095,49.999397
2018-08-25 13:15:04,50.222282,50.003117
2018-08-25 13:15:05,50.224804,50.009094
2018-08-25 13:15:06,50.222347,50.014988
2018-08-25 13:15:07,50.215805,50.019157
2018-08-25 13:15:08,50.205338,50.016228
2018-08-25 13:15:09,50.193138,50.012024
2018-08-25 13:15:10,50.181358,50.016884
2018-08-25 13:15:11,50.173447,50.031704
2018-08-25 13:15:12,50.170532,50.042126
2018-08-25 13:15:13,50.176571,50.042168
2018-08-25 13:15:14,50.188828,50.033962
2018-08-25 13:15:15,50.203896,50.028866
2018-08-25 13:15:16,50.219383,50.025768
2018-08-25 13:15:17,50.233257,50.026588
2018-08-25 13:15:18,50.241493,50.024521
2018-08-25 13:15:19,50.242825,50.023689
2018-08-25 13:15:20,50.239552,50.024536
2018-08-25 13:15:21,50.232536,50.02504
2018-08-25 13:15:22,50.223694,50.025486
2018-08-25 13:15:23,50.2159,50.022865
2018-08-25 13:15:24,50.21101,50.020565
2018-08-25 13:15:25,50.208061,50.019627
2018-08-25 13:15:26,50.206081,50.021839
2018-08-25 13:15:27,50.206036,50.023872
2018-08-25 13:15:28,50.20752,50.029369
2018-08-25 13:15:29,50.211166,50.035484
2018-08-25 13:15:30,50.219753,50.041744
2018-08-25 13:15:31,50.227962,50.044548
2018-08-25 13:15:32,50.229931,50.044659
2018-08-25 13:15:33,50.228622,50.0466
2018-08-25 13:15:34,50.226227,50.049541
2018-08-25 13:15:35,50.223751,50.054325
2018-08-25 13:15:36,50.221592,50.057205
2018-08-25 13:15:37,50.219604,50.059616
2018-08-25 13:15:38,50.217911,50.06411
2018-08-25 13:15:39,50.216457,50.071312
2018-08-25 13:15:40,50.217308,50.076893
2018-08-25 13:15:41,50.217628,50.082455
2018-08-25 13:15:42,50.216076,50.083157
2018-08-25 13:15:43,50.21336,50.083717
2018-08-25 13:15:44,50.208466,50.078655
2018-08-25 13:15:45,50.202324,50.074726
2018-08-25 13:15:46,50.198441,50.069885
2018-08-25 13:15:47,50.197899,50.067123
2018-08-25 13:15:48,50.199318,50.068226
2018-08-25 13:15:49,50.20153,50.073421
2018-08-25 13:15:50,50.20504,50.077763
2018-08-25 13:15:51,50.21093,50.081528
2018-08-25 13:15:52,50.216297,50.085945
2018-08-25 13:15:53,50.218906,50.090641
2018-08-25 13:15:54,50.218235,50.097469
2018-08-25 13:15:55,50.215363,50.103424
2018-08-25 13:15:56,50.210384,50.106541
2018-08-25 13:15:57,50.204716,50.110069
2018-08-25 13:15:58,50.198116,50.113598
2018-08-25 13:15:59,50.193298,50.111599
2018-08-25 13:16:00,50.190067,50.108799
2018-08-25 13:16:01,50.188095,50.104847
2018-08-25 13:16:02,50.191177,50.09837
2018-08-25 13:16:03,50.20023,50.091873
2018-08-25 13:16:04,50.215099,50.085285
2018-08-25 13:16:05,50.228767,50.082249
2018-08-25 13:16:06,50.237892,50.081528
2018-08-25 13:16:07,50.241089,50.080849
2018-08-25 13:16:08,50.240437,50.080151
2018-08-25 13:16:09,50.235554,50.077953
2018-08-25 13:16:10,50.225819,50.0765
2018-08-25 13:16:11,50.215988,50.074528
2018-08-25 13:16:12,50.207569,50.071217
2018-08-25 13:16:13,50.200634,50.067356
2018-08-25 13:16:14,50.196266,50.065662
2018-08-25 13:16:15,50.195152,50.062984
2018-08-25 13:16:16,50.194836,50.061249
2018-08-25 13:16:17,50.196835,50.059616
2018-08-25 13:16:18,50.20219,50.058727
2018-08-25 13:16:19,50.206379,50.057156
2018-08-25 13:16:20,50.208275,50.057537
2018-08-25 13:16:21,50.210606,50.056515
2018-08-25 13:16:22,50.215141,50.053135
2018-08-25 13:16:23,50.218716,50.047348
2018-08-25 13:16:24,50.220894,50.043251
2018-08-25 13:16:25,50.220409,50.041634
2018-08-25 13:16:26,50.217094,50.040989
2018-08-25 13:16:27,50.213951,50.043484
2018-08-25 13:16:28,50.210796,50.047779
2018-08-25 13:16:29,50.205231,50.050205
2018-08-25 13:16:30,50.200722,50.050121
2018-08-25 13:16:31,50.196598,50.048061
2018-08-25 13:16:32,50.1917,50.047176
2018-08-25 13:16:33,50.190083,50.043369
2018-08-25 13:16:34,50.189247,50.036606
2018-08-25 13:16:35,50.189579,50.033394
2018-08-25 13:16:36,50.193668,50.029408
2018-08-25 13:16:37,50.200722,50.023319
2018-08-25 13:16:38,50.210251,50.020416
2018-08-25 13:16:39,50.220047,50.019993
2018-08-25 13:16:40,50.227398,50.021915
2018-08-25 13:16:41,50.230057,50.029606
2018-08-25 13:16:42,50.229591,50.037354
2018-08-25 13:16:43,50.226456,50.042686
2018-08-25 13:16:44,50.223633,50.046223
2018-08-25 13:16:45,50.223785,50.047474
2018-08-25 13:16:46,50.226032,50.047123
2018-08-25 13:16:47,50.226875,50.044125
2018-08-25 13:16:48,50.224388,50.039913
2018-08-25 13:16:49,50.221569,50.036064
2018-08-25 13:16:50,50.217403,50.03286
2018-08-25 13:16:51,50.20673,50.029064
2018-08-25 13:16:52,50.195278,50.027309
2018-08-25 13:16:53,50.188217,50.02813
2018-08-25 13:16:54,50.184589,50.030727
2018-08-25 13:16:55,50.182583,50.034466
2018-08-25 13:16:56,50.182812,50.036701
2018-08-25 13:16:57,50.187447,50.037811
2018-08-25 13:16:58,50.198357,50.034019
2018-08-25 13:16:59,50.213013,50.031048
2018-08-25 13:17:00,50.227764,50.029892
2018-08-25 13:17:01,50.238556,50.027416
2018-08-25 13:17:02,50.242729,50.02174
2018-08-25 13:17:03,50.244492,50.017529
2018-08-25 13:17:04,50.247971,50.008965
2018-08-25 13:17:05,50.250484,49.993847
2018-08-25 13:17:06,50.249229,49.981014
2018-08-25 13:17:07,50.241463,49.969528
2018-08-25 13:17:08,50.232121,49.953732
2018-08-25 13:17:09,50.225307,49.939762
2018-08-25 13:17:10,50.220379,49.92878
2018-08-25 13:17:11,50.219631,49.919098
2018-08-25 13:17:12,50.227207,49.911434
2018-08-25 13:17:13,50.248962,49.904819
2018-08-25 13:17:14,50.273716,49.902081
2018-08-25 13:17:15,50.292164,49.904957
2018-08-25 13:17:16,50.304146,49.906857
2018-08-25 13:17:17,50.31126,49.903587
2018-08-25 13:17:18,50.312386,49.901405
2018-08-25 13:17:19,50.309593,49.899529
2018-08-25 13:17:20,50.30648,49.897186
2018-08-25 13:17:21,50.3027,49.894764
2018-08-25 13:17:22,50.295811,49.892769
2018-08-25 13:17:23,50.288166,49.892006
2018-08-25 13:17:24,50.281845,49.890099
2018-08-25 13:17:25,50.277035,49.888977
2018-08-25 13:17:26,50.273766,49.887951
2018-08-25 13:17:27,50.271317,49.885174
2018-08-25 13:17:28,50.268726,49.879917
2018-08-25 13:17:29,50.266193,49.875565
2018-08-25 13:17:30,50.267437,49.869049
2018-08-25 13:17:31,50.270588,49.862049
2018-08-25 13:17:32,50.274094,49.857521
2018-08-25 13:17:33,50.277443,49.853523
