"Time","Power_kW"
2018-08-25 11:25:55,6078.36783333333
2018-08-25 11:26:55,6051.94426666667
2018-08-25 11:27:55,6103.076
2018-08-25 11:28:55,6084.76015
2018-08-25 11:29:55,6080.88116666667
2018-08-25 11:30:55,6080.21805
2018-08-25 11:31:55,6134.88081666667
2018-08-25 11:32:55,6125.14765
2018-08-25 11:33:55,6117.76405
2018-08-25 11:34:55,6163.21678333333
2018-08-25 11:35:55,6204.69953333333
2018-08-25 11:36:55,6181.55183333333
2018-08-25 11:37:55,6194.37076666667
2018-08-25 11:38:55,6286.62695
2018-08-25 11:39:55,6283.35433333333
2018-08-25 11:40:55,6305.89043333333
2018-08-25 11:41:55,6334.33723333333
2018-08-25 11:42:55,6329.03098333333
2018-08-25 11:43:55,6332.00678333333
2018-08-25 11:44:55,6351.02985
2018-08-25 11:45:55,6358.6984
2018-08-25 11:46:55,6374.5575
2018-08-25 11:47:55,6391.1166
2018-08-25 11:48:55,6412.47028333333
2018-08-25 11:49:55,6418.56083333333
2018-08-25 11:50:55,6411.22136666667
2018-08-25 11:51:55,6436.84606666667
2018-08-25 11:52:55,6441.7195
2018-08-25 11:53:55,6445.45283333333
2018-08-25 11:54:55,6451.19016666667
2018-08-25 11:55:55,6459.88798333333
2018-08-25 11:56:55,6434.24286666667
2018-08-25 11:57:55,6446.0246
2018-08-25 11:58:55,6439.31848333333
2018-08-25 11:59:55,6448.81793333333
2018-08-25 12:00:55,6455.49663333333
2018-08-25 12:01:55,6384.9398
2018-08-25 12:02:55,6449.62778333333
2018-08-25 12:03:55,6445.48406666667
2018-08-25 12:04:55,6439.07306666667
2018-08-25 12:05:55,6422.61158333333
2018-08-25 12:06:55,6414.42491666667
2018-08-25 12:07:55,6413.59676666667
2018-08-25 12:08:55,6423.85661666667
2018-08-25 12:09:55,6453.2593
2018-08-25 12:10:55,6410.06723333333
2018-08-25 12:11:55,6401.46213333333
2018-08-25 12:12:55,6422.65111666667
2018-08-25 12:13:55,6415.56173333333
2018-08-25 12:14:55,6376.87765
2018-08-25 12:15:55,6455.89755
2018-08-25 12:16:55,6469.59873333333
2018-08-25 12:17:55,6490.4349
2018-08-25 12:18:55,6498.85305
2018-08-25 12:19:55,6516.60546666667
2018-08-25 12:20:55,6515.0669
2018-08-25 12:21:55,6479.68418333333
2018-08-25 12:22:55,6486.1845
2018-08-25 12:23:55,6465.96691666667
2018-08-25 12:24:55,6468.22601666667
2018-08-25 12:25:55,6537.76386666667
2018-08-25 12:26:55,6519.14078333333
2018-08-25 12:27:55,6563.9949
2018-08-25 12:28:55,6581.18215
2018-08-25 12:29:55,6558.79686666667
2018-08-25 12:30:55,6593.57578333333
2018-08-25 12:31:55,6585.25198333333
2018-08-25 12:32:55,6464.76158333333
2018-08-25 12:33:55,6529.28546666667
2018-08-25 12:34:55,6459.64375
2018-08-25 12:35:55,6423.34871666667
2018-08-25 12:36:55,6487.82941666667
2018-08-25 12:37:55,6459.17165
2018-08-25 12:38:55,6426.60431666667
2018-08-25 12:39:55,6430.7088
2018-08-25 12:40:55,6457.89355
2018-08-25 12:41:55,6445.479
2018-08-25 12:42:55,6521.14006666667
2018-08-25 12:43:55,6570.91231666667
2018-08-25 12:44:55,6568.66398333333
2018-08-25 12:45:55,6622.31485
2018-08-25 12:46:55,6621.40848333333
2018-08-25 12:47:55,6622.16245
2018-08-25 12:48:55,6611.72063333333
2018-08-25 12:49:55,6645.61503333333
2018-08-25 12:50:55,6626.82383333333
2018-08-25 12:51:55,6612.70326666667
2018-08-25 12:52:55,6630.90533333333
2018-08-25 12:53:55,6606.10875
2018-08-25 12:54:55,6615.94558333333
2018-08-25 12:55:55,6619.07333333333
2018-08-25 12:56:55,6593.80628333333
