postcode,long,lat
2574,150.653,-34.39
2575,150.364,-34.363
2576,150.508,-34.521
2577,150.374,-34.606
2578,150.292,-34.667
2579,150.088,-34.669
2580,149.764,-34.681
2581,149.269,-34.757
2582,148.795,-34.917
2583,149.314,-34.264
2584,148.661,-34.672
2585,148.56,-34.608
2586,148.789,-34.327
2587,148.332,-34.57
2588,148.119,-34.514
2590,147.954,-34.693
2594,148.141,-34.258
2600,149.133,-35.319
2601,149.105,-35.282
2602,149.14,-35.248
2603,149.126,-35.328
2604,149.149,-35.33
2605,149.09,-35.331
2606,149.091,-35.348
2607,149.101,-35.369
2609,149.202,-35.285
2611,148.768,-35.405
2612,149.148,-35.284
2614,149.055,-35.249
2615,149.032,-35.21
2617,149.047,-35.243
2618,149.064,-35.093
2619,149.201,-35.383
2620,149.145,-35.514
2621,149.444,-35.433
2622,149.86,-35.405
2623,149.429,-35.58
2625,148.306,-36.503
2626,149.168,-35.92
2627,148.46,-36.396
2628,148.717,-36.561
2629,148.677,-35.89
2630,149.158,-36.236
2631,149.339,-36.559
2632,149.232,-36.954
2633,148.851,-36.947
2640,147.179,-35.971
2641,146.925,-36.03
2642,147.482,-35.898
2643,146.625,-35.956
2644,147.42,-35.753
2645,146.253,-35.316
2646,146.245,-35.726
2647,146.048,-35.924
2648,142.066,-33.418
2649,148.288,-35.792
2650,147.407,-35.193
2651,147.463,-35.146
2652,146.563,-34.576
2653,148.037,-35.793
2655,147.072,-35.262
2656,146.754,-35.262
2658,146.939,-35.502
2659,146.857,-35.704
2660,147.055,-35.668
2661,147.278,-35.153
2663,147.656,-34.823
2665,146.802,-34.278
2666,147.591,-34.43
2668,147.419,-34.108
2669,146.612,-33.706
2671,147.2,-33.799
2672,146.328,-33.379
2675,145.502,-33.267
2678,147.358,-35.061
2680,145.922,-34.348
2681,146.175,-34.159
2700,146.333,-34.883
2701,147.202,-34.702
2702,147.019,-34.808
2703,146.402,-34.625
2705,146.311,-34.495
2706,145.866,-34.596
2707,145.835,-34.807
2710,144.92,-35.281
2711,144.597,-34.155
2712,145.831,-35.708
2713,145.5,-35.581
